year,gdp,loggdp
1929,104.6,4.650143552
1930,92.2,4.523960131
1931,77.4,4.348986781
1932,59.5,4.085976313
1933,57.2,4.046553898
1934,66.8,4.201703081
1935,74.3,4.308110952
1936,84.9,4.441474093
1937,93,4.532599493
1938,87.4,4.470495283
1939,93.5,4.537961436
1940,102.9,4.633757643
1941,129.4,4.862908382
1942,166,5.111987788
1943,203.1,5.313698469
1944,224.6,5.414321042
1945,228.2,5.430222437
1946,227.8,5.428468051
1947,249.9,5.521060838
1948,274.8,5.61604356
1949,272.8,5.608738926
1950,300.2,5.704448919
1951,347.3,5.85018896
1952,367.7,5.907267388
1953,389.7,5.965377212
1954,391.1,5.968963282
1955,426.2,6.05490872
1956,450.1,6.10946978
1957,474.9,6.163104256
1958,482,6.177944114
1959,522.5,6.258624984
1960,543.3,6.297661654
1961,563.3,6.333812346
1962,605.1,6.405393734
1963,638.6,6.45927828
1964,685.8,6.53058604
1965,743.7,6.611637728
1966,815,6.703188113
1967,861.7,6.758907182
1968,942.5,6.848535919
1969,"1,019.90",6.927459862
1970,"1,075.90",6.9809128
1971,"1,167.80",7.062876916
1972,"1,282.40",7.156488601
1973,"1,428.50",7.264380222
1974,"1,548.80",7.345235717
1975,"1,688.90",7.431832708
1976,"1,877.60",7.537749645
1977,"2,086.00",7.643003636
1978,"2,356.60",7.764975181
1979,"2,632.10",7.875537286
1980,"2,862.50",7.959450648
1981,"3,211.00",8.074337694
1982,"3,345.00",8.115221973
1983,"3,638.10",8.199216846
1984,"4,040.70",8.304173223
1985,"4,346.70",8.377172215
1986,"4,590.20",8.431678875
1987,"4,870.20",8.490890283
1988,"5,252.60",8.566478471
1989,"5,657.70",8.640772728
1990,"5,979.60",8.696108955
1991,"6,174.00",8.728102205
1992,"6,539.30",8.785585405
1993,"6,878.70",8.83618496
1994,"7,308.80",8.896834381
1995,"7,664.10",8.944302368
1996,"8,100.20",8.999644032
1997,"8,608.50",9.060505366
1998,"9,089.20",9.114842174
1999,"9,660.60",9.175811037
2000,"10,284.80",9.238422356
2001,"10,621.80",9.270663772
2002,"10,977.50",9.303603002
2003,"11,510.70",9.351032317
2004,"12,274.90",9.415311806
2005,"13,093.70",9.479886477
2006,"13,855.90",9.536466414
2007,"14,477.60",9.580357906
2008,"14,718.60",9.596867279
2009,"14,418.70",9.576281254
2010,"14,964.40",9.613429326
2011,"15,517.90",9.649749475
2012,"16,155.30",9.690003448
2013,"16,663.20",9.720957974
2014,"17,348.10",9.761238269
2015,"17,947.00",9.795178249
