year,spercent,dpercent,sallypercent,russellpercent
1880,0.00169,0.00543,0.00082,0.000532
1881,0.001487,0.004866,0.000799,6.00E-04
1882,0.001556,0.004867,0.000821,0.000598
1883,0.001524,0.005467,0.000608,0.000596
1884,0.001432,0.004668,0.00069,0.000872
1885,0.001515,0.004614,0.000754,0.000811
1886,0.001607,0.004662,0.000676,0.000966
1887,0.001377,0.005095,0.000721,0.000878
1888,0.001547,0.004357,0.00075,0.001124
1889,0.001511,0.004326,0.00065,0.001663
1890,0.001299,0.004219,0.000764,0.00152
1891,0.001323,0.004621,0.000585,0.001702
1892,0.001227,0.004062,0.000711,0.002046
1893,0.001288,0.004312,0.000595,0.002032
1894,0.001288,0.004123,0.000712,0.002226
1895,0.001469,0.004074,0.000656,0.002377
1896,0.001294,0.004346,0.000734,0.002533
1897,0.001422,0.004264,0.00083,0.002419
1898,0.00132,0.003959,0.000726,0.002717
1899,0.001305,0.00421,0.000747,0.002934
1900,0.00118,0.003704,0.000909,0.002637
1901,0.001239,0.003607,0.000842,0.003417
1902,0.001195,0.003774,0.000949,0.003179
1903,0.001197,0.00334,0.001035,0.003015
1904,0.001228,0.003408,0.000951,0.003415
1905,0.00141,0.003379,0.000978,0.003016
1906,0.001458,0.003512,0.001142,0.003186
1907,0.001464,0.003329,0.001147,0.003172
1908,0.00154,0.003192,0.00125,0.003144
1909,0.001519,0.003218,0.001277,0.00298
1910,0.00151,0.003315,0.001316,0.002945
1911,0.001556,0.003295,0.001214,0.003195
1912,0.001639,0.003374,0.001397,0.003208
1913,0.001713,0.003505,0.001342,0.00363
1914,0.001867,0.003403,0.001335,0.003755
1915,0.001868,0.003406,0.001095,0.003689
1916,0.001834,0.003411,0.001125,0.003607
1917,0.00191,0.003499,0.000915,0.003584
1918,0.001909,0.003555,0.000903,0.003653
1919,0.00185,0.003474,0.000843,0.003589
1920,0.001899,0.003541,0.000772,0.003545
1921,0.001836,0.003596,0.000696,0.003469
1922,0.001781,0.003802,0.000781,0.003524
1923,0.001743,0.003765,0.000797,0.003361
1924,0.001788,0.00376,0.000883,0.003378
1925,0.001609,0.003957,0.001035,0.003303
1926,0.001645,0.003934,0.001194,0.003317
1927,0.001612,0.00398,0.00132,0.003041
1928,0.001564,0.003888,0.001581,0.002914
1929,0.001512,0.003948,0.001914,0.002876
1930,0.001516,0.003953,0.002182,0.00274
1931,0.001549,0.004074,0.002317,0.002754
1932,0.001589,0.004139,0.002631,0.002814
1933,0.001779,0.004229,0.003011,0.00264
1934,0.001703,0.004239,0.003443,0.002573
1935,0.001632,0.004295,0.003411,0.002647
1936,0.001692,0.004523,0.003374,0.002665
1937,0.001727,0.004688,0.003565,0.00265
1938,0.001704,0.004911,0.003746,0.002595
1939,0.001651,0.005122,0.003743,0.002496
1940,0.001767,0.005242,0.003221,0.002537
1941,0.001663,0.005618,0.00318,0.002417
1942,0.001574,0.006045,0.003349,0.002607
1943,0.001407,0.006301,0.003244,0.002578
1944,0.001395,0.006708,0.003215,0.002833
1945,0.001341,0.007076,0.002954,0.00277
1946,0.001261,0.007789,0.003002,0.002864
1947,0.001198,0.008188,0.002896,0.002847
1948,0.001159,0.009254,0.002879,0.002859
1949,0.001121,0.010128,0.002718,0.00278
1950,0.00117,0.010552,0.002769,0.002714
1951,0.001124,0.011044,0.00278,0.002715
1952,0.001074,0.011867,0.002649,0.002703
1953,0.001078,0.011733,0.002686,0.002691
1954,0.001067,0.01222,0.002552,0.002785
1955,0.000983,0.012665,0.002337,0.003123
1956,0.000974,0.012414,0.002112,0.003452
1957,0.001005,0.012482,0.001906,0.003299
1958,0.000964,0.011895,0.002084,0.003322
1959,0.000975,0.011601,0.001956,0.003449
1960,0.00098,0.011993,0.001805,0.003454
1961,0.00106,0.012006,0.001669,0.003405
1962,0.001218,0.012157,0.001565,0.003351
1963,0.001251,0.012027,0.001382,0.003248
1964,0.001203,0.012009,0.001384,0.003076
1965,0.00108,0.013105,0.00127,0.002983
1966,0.001171,0.012803,0.001044,0.002677
1967,0.001291,0.012482,0.000956,0.002746
1968,0.001435,0.012397,0.000821,0.00287
1969,0.001587,0.012681,0.000743,0.002818
1970,0.001671,0.01235,0.000683,0.002687
1971,0.001828,0.011983,0.000606,0.002495
1972,0.001971,0.013203,0.000567,0.002262
1973,0.00224,0.014665,0.000614,0.002108
1974,0.002968,0.014625,0.000613,0.001951
1975,0.003288,0.014685,0.000609,0.00199
1976,0.005104,0.015139,0.000572,0.001835
1977,0.005297,0.015259,0.000481,0.001826
1978,0.005394,0.01547,0.000472,0.001747
1979,0.005019,0.015919,0.000426,0.001751
1980,0.006267,0.01612,0.000415,0.001764
1981,0.006351,0.016651,0.000399,0.001637
1982,0.006254,0.017302,0.000349,0.001609
1983,0.005635,0.018652,0.000368,0.001473
1984,0.005169,0.01947,0.000341,0.001431
1985,0.005718,0.020035,0.000305,0.001336
1986,0.005989,0.019036,0.000321,0.001251
1987,0.005385,0.018398,0.000281,0.001221
1988,0.005208,0.017337,0.000282,0.001149
1989,0.004874,0.016701,0.000269,0.001059
1990,0.004367,0.015717,0.000268,0.001029
1991,0.004349,0.014579,0.00026,0.000865
1992,0.00421,0.013878,0.000247,0.000816
1993,0.004008,0.013875,0.000225,0.000733
1994,0.003703,0.01376,0.000203,0.000625
1995,0.00348,0.013271,0.000202,6.00E-04
1996,0.003279,0.012521,0.00019,0.000542
1997,0.003223,0.011976,0.000177,0.00055
1998,0.0031,0.01141,0.000168,0.000469
1999,0.002889,0.011122,0.000168,0.000419
2000,0.002663,0.010681,0.000165,0.000428
2001,0.002599,0.010141,0.000151,0.000448
2002,0.002502,0.010313,0.000132,0.000406
2003,0.002371,0.010013,0,0.000385
2004,0.002233,0.009928,0.000131,0.000363
2005,0.002109,0.0095,0,0.000343
2006,0.002105,0.009142,0,0.000337
2007,0.001895,0.009135,0,0.000322
2008,0.001725,0.008702,0,0.000335
